transaction_id,user_id,timestamp,amount,merchant,category,location,device_id,transaction_type,risk_score,risk_label,explanation
TXN001,U001,2026-07-01 10:15:00,1200,Amazon,Shopping,Mumbai,D001,Card,0.0,Safe,No major risk factors detected.
TXN002,U001,2026-07-01 11:20:00,850,Swiggy,Food,Mumbai,D001,UPI,0.0,Safe,No major risk factors detected.
TXN003,U001,2026-07-02 02:45:00,95000,Unknown Electronics,Shopping,Delhi,D009,Card,0.7000000000000001,High Risk,transaction happened at an unusual hour; location differs from the user's usual location; device differs from the user's usual device; merchant appears unfamiliar or unknown
TXN004,U002,2026-07-01 14:10:00,500,Uber,Travel,Bangalore,D002,UPI,0.0,Safe,No major risk factors detected.
TXN005,U002,2026-07-01 14:12:00,700,Uber,Travel,Bangalore,D002,UPI,0.0,Safe,No major risk factors detected.
TXN006,U002,2026-07-01 14:15:00,68000,Luxury Watches,Shopping,Dubai,D015,Card,0.4,Suspicious,location differs from the user's usual location; device differs from the user's usual device
TXN007,U003,2026-07-01 09:00:00,300,Starbucks,Food,Pune,D003,Card,0.0,Safe,No major risk factors detected.
TXN008,U003,2026-07-01 09:05:00,320,Starbucks,Food,Pune,D003,Card,0.0,Safe,No major risk factors detected.
TXN009,U003,2026-07-01 09:08:00,45000,Crypto Exchange,Finance,Singapore,D020,Card,0.4,Suspicious,location differs from the user's usual location; device differs from the user's usual device
TXN010,U004,2026-07-03 18:30:00,1500,Zara,Shopping,Delhi,D004,Card,0.0,Safe,No major risk factors detected.
